,Manufacturer##other##,Length##length##inches,Reveal Width##length##inches,Deep##length##inches,Shallow##length##inches,Flow##piping_flow##gallons_us_per_minute
"80"" x 6.25"" x 10.1""",Zurn Industries,"80""","6.25""","10.1""","9.5""",403 GPM
"80"" x 6.25"" x 10.7""",Zurn Industries,"80""","6.25""","10.7""","10.1""",435 GPM
"80"" x 6.25"" x 11.3""",Zurn Industries,"80""","6.25""","11.3""","10.7""",467 GPM
"80"" x 6.25"" x 11.9""",Zurn Industries,"80""","6.25""","11.9""","11.3""",498 GPM
"80"" x 6.25"" x 12.5""",Zurn Industries,"80""","6.25""","12.5""","11.9""",530 GPM
"80"" x 6.25"" x 4.1""",Zurn Industries,"80""","6.25""","4.1""","3.5""",93 GPM
"80"" x 6.25"" x 4.7""",Zurn Industries,"80""","6.25""","4.7""","4.1""",122 GPM
"80"" x 6.25"" x 5.3""",Zurn Industries,"80""","6.25""","5.3""","4.7""",152 GPM
"80"" x 6.25"" x 5.9""",Zurn Industries,"80""","6.25""","5.9""","5.3""",183 GPM
"80"" x 6.25"" x 6.5""",Zurn Industries,"80""","6.25""","6.5""","5.9""",214 GPM
"80"" x 6.25"" x 7.1""",Zurn Industries,"80""","6.25""","7.1""","6.5""",245 GPM
"80"" x 6.25"" x 7.7""",Zurn Industries,"80""","6.25""","7.7""","7.1""",276 GPM
"80"" x 6.25"" x 8.3""",Zurn Industries,"80""","6.25""","8.3""","7.7""",308 GPM
"80"" x 6.25"" x 8.9""",Zurn Industries,"80""","6.25""","8.9""","8.3""",339 GPM
"80"" x 6.25"" x 9.5""",Zurn Industries,"80""","6.25""","9.5""","8.9""",371 GPM
"80"" x 6.75"" x 10.1"" HD",Zurn Industries,"80""","6.75""","10.1""","9.5""",403 GPM
"80"" x 6.75"" x 10.7"" HD",Zurn Industries,"80""","6.75""","10.7""","10.1""",435 GPM
"80"" x 6.75"" x 11.3"" HD",Zurn Industries,"80""","6.75""","11.3""","10.7""",467 GPM
"80"" x 6.75"" x 11.9"" HD",Zurn Industries,"80""","6.75""","11.9""","11.3""",498 GPM
"80"" x 6.75"" x 12.5"" HD",Zurn Industries,"80""","6.75""","12.5""","11.9""",530 GPM
"80"" x 6.75"" x 4.1"" HD",Zurn Industries,"80""","6.75""","4.1""","3.5""",93 GPM
"80"" x 6.75"" x 4.7"" HD",Zurn Industries,"80""","6.75""","4.7""","4.1""",122 GPM
"80"" x 6.75"" x 5.3"" HD",Zurn Industries,"80""","6.75""","5.3""","4.7""",152 GPM
"80"" x 6.75"" x 5.9"" HD",Zurn Industries,"80""","6.75""","5.9""","5.3""",183 GPM
"80"" x 6.75"" x 6.5"" HD",Zurn Industries,"80""","6.75""","6.5""","5.9""",214 GPM
"80"" x 6.75"" x 7.1"" HD",Zurn Industries,"80""","6.75""","7.1""","6.5""",245 GPM
"80"" x 6.75"" x 7.7"" HD",Zurn Industries,"80""","6.75""","7.7""","7.1""",276 GPM
"80"" x 6.75"" x 8.3"" HD",Zurn Industries,"80""","6.75""","8.3""","7.7""",308 GPM
"80"" x 6.75"" x 8.9"" HD",Zurn Industries,"80""","6.75""","8.9""","8.3""",339 GPM
"80"" x 6.75"" x 9.5"" HD",Zurn Industries,"80""","6.75""","9.5""","8.9""",371 GPM
